namespace,name
ag.granular,tiffany
app.cash.molecule,molecule-runtime
app.cash.sqldelight,runtime
app.cash.sqldelight,async-extensions
app.cash.sqldelight,coroutines-extensions
app.cash.sqldelight,native-driver
app.cash.sqldelight,primitive-adapters
app.cash.turbine,turbine
app.cash.zipline,zipline
app.cash.zipline,zipline-loader
app.softwork,kotlinx-uuid-core
app.softwork,kotlinx-serialization-csv
app.softwork,kotlinx-serialization-flf
app.softwork,kotlinx-uuid-sqldelight
app.softwork,ratelimit
ca.gosyer,accompanist-pager
ca.gosyer,accompanist-placeholder
ca.gosyer,accompanist-snapper
ca.gosyer,accompanist-placeholder-material
ca.gosyer,accompanist-swiperefresh
cloud.genesys,messenger-transport-mobile-sdk
co.touchlab,stately-common
co.touchlab,stately-iso-collections
co.touchlab,stately-concurrency
co.touchlab,kermit
co.touchlab,crashkios
co.touchlab,stately-isolate
co.touchlab,crashkios-core
co.touchlab,stately-collections
co.touchlab,kermit-core
co.touchlab,sqliter-driver
co.touchlab,kermit-crashlytics
co.touchlab,kermit-bugsnag
co.touchlab,kermit-bugsnag-test
co.touchlab,kermit-crashlytics-test
co.touchlab,kermit-koin
co.touchlab,kermit-nkt
co.touchlab,kermit-sentry
co.touchlab,kermit-sentry-test
co.touchlab,kermit-test
co.touchlab,testhelp
co.touchlab.crashkios,core
co.touchlab.crashkios,bugsnag
co.touchlab.crashkios,crashlytics
com.1gravity,bloc-core
com.1gravity,bloc-redux
com.aallam.ulid,ulid
com.aallam.ulid,ulid-kotlin
com.apollographql.apollo3,apollo-api
com.apollographql.apollo3,apollo-runtime
com.apollographql.apollo3,apollo-annotations
com.apollographql.apollo3,apollo-mpp-utils
com.apollographql.apollo3,apollo-normalized-cache-api
com.apollographql.apollo3,apollo-normalized-cache-api-incubating
com.apollographql.apollo3,apollo-mockserver
com.apollographql.apollo3,apollo-normalized-cache-common
com.apollographql.apollo3,apollo-normalized-cache-incubating
com.apollographql.apollo3,apollo-normalized-cache
com.apollographql.apollo3,apollo-adapters
com.apollographql.apollo3,apollo-normalized-cache-sqlite-incubating
com.apollographql.apollo3,apollo-normalized-cache-sqlite
com.apollographql.apollo3,apollo-testing-support
com.appmattus.crypto,cryptohash
com.arkivanov.decompose,decompose
com.arkivanov.decompose,extensions-compose-jetbrains
com.arkivanov.essenty,lifecycle
com.arkivanov.essenty,instance-keeper
com.arkivanov.essenty,state-keeper
com.arkivanov.essenty,back-pressed
com.arkivanov.essenty,back-handler
com.arkivanov.essenty,utils-internal
com.arkivanov.essenty,parcelable
com.arkivanov.mvikotlin,utils-internal
com.arkivanov.mvikotlin,rx
com.arkivanov.mvikotlin,mvikotlin
com.arkivanov.mvikotlin,rx-internal
com.arkivanov.mvikotlin,mvikotlin-timetravel-proto-internal
com.arkivanov.mvikotlin,keepers
com.arkivanov.mvikotlin,mvikotlin-extensions-coroutines
com.arkivanov.mvikotlin,mvikotlin-extensions-reaktive
com.arkivanov.mvikotlin,mvikotlin-logging
com.arkivanov.mvikotlin,mvikotlin-main
com.arkivanov.mvikotlin,mvikotlin-timetravel
com.autodesk,coroutineworker
com.badoo.reaktive,reaktive
com.badoo.reaktive,reaktive-annotations
com.badoo.reaktive,utils
com.badoo.reaktive,coroutines-interop
com.badoo.reaktive,reaktive-testing
com.batoulapps.adhan,adhan2
com.benasher44,uuid
com.bennyhuo.kotlin,klue-annotations
com.bennyhuo.kotlin,klue-runtime-common
com.bennyhuo.kotlin,klue-runtime-reactnative
com.bennyhuo.kotlin,klue-runtime-webview
com.careem.mockingbird,mockingbird
com.chimerapps.kotlin-inject-viewmodelfactory,runtime
com.codingfeline.kgql,core
com.configcat,configcat-kotlin-client
com.crowdproj,kotlin-cor
com.ctrip.flight.mmkv,mmkv-kotlin
com.ctrip.flight.mmkv,mmkv-kotlin
